equipo local,goles local,goles visita,equipo visita
Charlotte FC,2,0,FC Cincinnati
Sporting Kansas City,1,0,Real Salt Lake
Portland Timbers,1,1,Orlando City
Chicago Fire,0,0,FC Dallas
FC Cincinnati,3,4,Montreal Impact
Toronto FC,2,1,New York City
Columbus Crew,0,1,Nashville SC
San José Earthquakes,2,2,Austin FC
DC United,0,1,Atlanta United FC
Orlando City,2,4,Los Angeles FC
New England Revolution,0,1,New York Red Bulls
Philadelphia Union,2,0,Charlotte FC
Minnesota United FC,1,2,Seattle Sounders
Vancouver Whitecaps,1,0,Sporting Kansas City
