equipo local,goles local,goles visita,equipo visita
Seattle Sounders,1,1,Los Angeles FC
Los Angeles Galaxy,1,1,Portland Timbers
New York Red Bulls,2,0,Toronto FC
Montreal Impact,0,1,Austin FC
Columbus Crew,1,1,Charlotte FC
Orlando City,2,1,Houston Dynamo
Philadelphia Union,1,1,FC Cincinnati
Chicago Fire,1,0,DC United
FC Dallas,0,2,Vancouver Whitecaps
Real Salt Lake,2,0,San José Earthquakes
Atlanta United FC,2,0,Inter Miami CF
New York City,1,1,Colorado Rapids
New England Revolution,2,1,Minnesota United FC
Nashville SC,1,2,Sporting Kansas City
