equipo local,goles local,goles visita,equipo visita
Montreal Impact,2,1,Vancouver Whitecaps
San José Earthquakes,2,2,Nashville SC
Atlanta United FC,0,0,FC Cincinnati
Houston Dynamo,0,0,Portland Timbers
New York Red Bulls,0,0,FC Dallas
New England Revolution,2,1,Charlotte FC
Toronto FC,2,1,Philadelphia Union
Columbus Crew,0,2,Orlando City
Minnesota United FC,3,1,Colorado Rapids
Chicago Fire,0,0,Los Angeles Galaxy
DC United,2,3,Austin FC
Seattle Sounders,0,1,Inter Miami CF
New York City,6,0,Real Salt Lake
Los Angeles FC,3,1,Sporting Kansas City
