equipo local,goles local,goles visita,equipo visita
Philadelphia Union,0.0,0.0,Inter Miami CF
DC United,0.0,2.0,New York City
New York Red Bulls,3.0,3.0,Chicago Fire
Minnesota United FC,1.0,1.0,Los Angeles Galaxy
Houston Dynamo,0.0,1.0,Seattle Sounders
Sporting Kansas City,2.0,1.0,Colorado Rapids
Nashville SC,2.0,1.0,Montreal Impact
Vancouver Whitecaps,2.0,1.0,FC Dallas
Los Angeles FC,1.0,2.0,Austin FC
San José Earthquakes,3.0,2.0,Portland Timbers
0,0.0,0.0,0
0,0.0,0.0,0
0,0.0,0.0,0
0,0.0,0.0,0
