equipo local,goles local,goles visita,equipo visita
Columbus Crew,0,2,Los Angeles FC
DC United,2,2,Toronto FC
FC Cincinnati,2,3,New England Revolution
Nashville SC,2,2,Atlanta United FC
Montreal Impact,1,2,Real Salt Lake
Charlotte FC,2,1,Vancouver Whitecaps
New York City,1,0,Chicago Fire
Inter Miami CF,2,0,New York Red Bulls
FC Dallas,1,2,Minnesota United FC
San José Earthquakes,1,1,Sporting Kansas City
Los Angeles Galaxy,0,3,Houston Dynamo
Colorado Rapids,1,0,Seattle Sounders
Austin FC,2,2,Orlando City
Portland Timbers,0,2,Philadelphia Union
