equipo local,goles local,goles visita,equipo visita
Mazatlán Fútbol Club,0,1,Tigres
Puebla,1,0,Santos Laguna
Xolos,0,2,Bravos
León FC,3,3,Pumas
Chivas,0,1,Atlético San Luis
Cruz Azul,1,2,Pachuca
Rayados,3,2,América
Toluca,3,2,Atlas
Gallos Blancos,1,2,Necaxa
