equipo local,goles local,goles visita,equipo visita
New York City,2,0,Inter Miami CF
FC Cincinnati,1,1,Nashville SC
Columbus Crew,0,0,New England Revolution
Orlando City,0,1,Philadelphia Union
Toronto FC,4,0,Charlotte FC
DC United,1,2,Montreal Impact
Houston Dynamo,1,2,Minnesota United FC
Sporting Kansas City,0,2,Los Angeles FC
Real Salt Lake,0,1,FC Dallas
Seattle Sounders,2,1,Colorado Rapids
Vancouver Whitecaps,1,3,Chicago Fire
Portland Timbers,2,1,San José Earthquakes
Austin FC,3,4,New York Red Bulls
Los Angeles Galaxy,2,0,Atlanta United FC
