equipo local,goles local,goles visita,equipo visita
Chivas,0,0,León FC
Gallos Blancos,0,3,Rayados
Mazatlán Fútbol Club,1,1,Atlético San Luis
Necaxa,1,0,Bravos
Toluca,2,1,Santos Laguna
Cruz Azul,2,2,Puebla
Xolos,2,0,América
Tigres,2,0,Atlas
Pachuca,0,0,Pumas
