equipo local,goles local,goles visita,equipo visita
América,1,0,Toluca
Puebla,1,1,León FC
Bravos,1,1,Gallos Blancos
Atlas,3,2,Cruz Azul
Santos Laguna,1,1,Chivas
Pumas,1,0,Necaxa
Atlético San Luis,0,1,Rayados
Tigres,1,0,Xolos
Pachuca,1,1,Mazatlán Fútbol Club
