equipo local,goles local,goles visita,equipo visita
Vancouver Whitecaps,2,1,Real Salt Lake
FC Cincinnati,1,0,Orlando City
Seattle Sounders,3,0,Sporting Kansas City
DC United,1,3,Nashville SC
Toronto FC,2,1,Atlanta United FC
Montreal Impact,2,1,Charlotte FC
Houston Dynamo,2,0,Chicago Fire
Inter Miami CF,2,1,Minnesota United FC
Austin FC,2,2,FC Dallas
Real Salt Lake,0,0,Columbus Crew
Portland Timbers,3,0,Colorado Rapids
Los Angeles FC,2,0,New York Red Bulls
Philadelphia Union,2,1,New York City
Vancouver Whitecaps,0,0,New England Revolution
