equipo local,goles local,goles visita,equipo visita
New York City,4,1,Montreal Impact
Columbus Crew,2,1,Toronto FC
Inter Miami CF,0,2,Los Angeles FC
Seattle Sounders,3,2,Los Angeles Galaxy
Houston Dynamo,2,1,Vancouver Whitecaps
Philadelphia Union,2,0,San José Earthquakes
DC United,0,2,Chicago Fire
New England Revolution,2,3,Real Salt Lake
Orlando City,1,2,FC Cincinnati
FC Dallas,2,0,Nashville SC
Colorado Rapids,2,0,Sporting Kansas City
Portland Timbers,1,0,Austin FC
Atlanta United FC,2,1,Charlotte FC
New York Red Bulls,0,1,Minnesota United FC
