,0,1,2,3
0,Puebla,Tigres,Toluca,León FC
1,Bravos,Santos Laguna,León FC,Rayados
2,Toluca,Bravos,Gallos Blancos,Atlético San Luis
3,Cruz Azul,Pumas,Cruz Azul,Bravos
4,Atlas,Atlético San Luis,Chivas,Santos Laguna
5,Xolos,Pachuca,Necaxa,Puebla
6,León FC,América,Rayados,América
7,Rayados,Atlas,Xolos,Atlas
8,Gallos Blancos,Necaxa,Mazatlán Fútbol Club,Pumas
