local,P ganar local,P empate,P ganar visita,visita
Bravos,0.2125507547237796,0.35579134249243605,0.4311904222098669,Toluca
Cruz Azul,0.2825286299288312,0.22779400526885965,0.4756532746280245,Necaxa
Tigres,0.7805228437128768,0.13769506696149963,0.04745149008092206,Gallos Blancos
Chivas,0.1925936393112477,0.43733277750780836,0.36999260668206674,Pachuca
Puebla,0.4672864790815758,0.3263804782546315,0.20537980761575875,Atlético San Luis
Xolos,0.4845205439228143,0.27843094581691197,0.23403010483203376,Mazatlán Fútbol Club
Pumas,0.24753211114229526,0.22602427460366342,0.5125620704265176,Rayados
Santos Laguna,0.46760909559859887,0.19914361871506972,0.29402698781700115,Atlas
León FC,0.48293636637947857,0.2915620650232004,0.2233414442877121,América
