equipo local,goles local,goles visita,equipo visita
Orlando City,1,0,Chicago Fire
Inter Miami CF,3,2,New England Revolution
New York Red Bulls,1,2,Montreal Impact
Philadelphia Union,1,0,Columbus Crew
Los Angeles Galaxy,2,1,Los Angeles FC
Real Salt Lake,2,2,Toronto FC
FC Dallas,3,1,Colorado Rapids
Sporting Kansas City,1,2,Nashville SC
Houston Dynamo,4,3,San José Earthquakes
Vancouver Whitecaps,2,3,Portland Timbers
Charlotte FC,1,0,Atlanta United FC
Austin FC,1,0,Minnesota United FC
New York City,0,0,DC United
Seattle Sounders,0,0,FC Cincinnati
