equipo local,goles local,goles visita,equipo visita
Mazatlán Fútbol Club,2,4,Puebla
Chivas,0,0,Bravos
Necaxa,1,3,Toluca
Tigres,2,3,Cruz Azul
América,0,0,Atlas
Pumas,1,1,Xolos
Atlético San Luis,1,2,León FC
Santos Laguna,4,3,Rayados
Pachuca,2,0,Gallos Blancos
