equipo local,goles local,goles visita,equipo visita
Montreal Impact,1,0,Toronto FC
Philadelphia Union,2,1,New England Revolution
Chicago Fire,1,0,Seattle Sounders
Minnesota United FC,2,0,DC United
Colorado Rapids,2,0,Los Angeles Galaxy
FC Dallas,1,1,Austin FC
Inter Miami CF,3,2,Charlotte FC
Atlanta United FC,1,1,Orlando City
New York Red Bulls,0,1,New York City
Columbus Crew,2,0,FC Cincinnati
Nashville SC,1,2,Los Angeles FC
San José Earthquakes,1,2,Houston Dynamo
Real Salt Lake,3,0,Sporting Kansas City
Portland Timbers,1,1,Vancouver Whitecaps
