equipo local,goles local,goles visita,equipo visita
Philadelphia Union,7,0,DC United
Los Angeles FC,3,2,Los Angeles Galaxy
Vancouver Whitecaps,1,3,Minnesota United FC
New York City,4,2,New England Revolution
Seattle Sounders,0,3,Portland Timbers
Atlanta United FC,0,3,Austin FC
Charlotte FC,4,1,Nashville SC
Montreal Impact,1,2,Sporting Kansas City
FC Cincinnati,1,1,New York Red Bulls
Toronto FC,2,2,San José Earthquakes
Chicago Fire,2,3,Columbus Crew
Houston Dynamo,2,2,FC Dallas
Real Salt Lake,2,2,Colorado Rapids
Orlando City,1,0,Inter Miami CF
