equipo local,goles local,goles visita,equipo visita
Toronto FC,0,1,Orlando City
Colorado Rapids,2,0,Los Angeles FC
New York City,2,0,Columbus Crew
Vancouver Whitecaps,3,3,San José Earthquakes
Charlotte FC,0,2,Montreal Impact
Philadelphia Union,1,1,New York Red Bulls
Chicago Fire,1,2,FC Cincinnati
Houston Dynamo,2,0,Nashville SC
Inter Miami CF,2,2,DC United
Real Salt Lake,2,1,Austin FC
Portland Timbers,7,2,Sporting Kansas City
Los Angeles Galaxy,1,3,FC Dallas
Atlanta United FC,2,2,New England Revolution
Seattle Sounders,3,1,Minnesota United FC
