equipo local,goles local,goles visita,equipo visita
FC Dallas,2,1,Houston Dynamo
Philadelphia Union,1,1,Montreal Impact
Minnesota United FC,3,0,Chicago Fire
DC United,3,2,New England Revolution
Sporting Kansas City,0,0,Columbus Crew
Austin FC,3,0,Vancouver Whitecaps
Colorado Rapids,0,0,Charlotte FC
San José Earthquakes,4,3,Seattle Sounders
Portland Timbers,0,0,Real Salt Lake
Los Angeles Galaxy,1,0,Nashville SC
Inter Miami CF,2,1,Atlanta United FC
Orlando City,0,3,New York Red Bulls
New York City,5,4,Toronto FC
FC Cincinnati,1,2,Los Angeles FC
