equipo local,goles local,goles visita,equipo visita
Toronto FC,0,2,Seattle Sounders
Vancouver Whitecaps,1,0,Los Angeles FC
New York City,2,2,Atlanta United FC
Columbus Crew,0,0,Philadelphia Union
New England Revolution,2,2,FC Cincinnati
Minnesota United FC,3,2,Real Salt Lake
Sporting Kansas City,0,1,New York Red Bulls
Houston Dynamo,1,2,Charlotte FC
Nashville SC,2,2,Portland Timbers
San José Earthquakes,2,1,Chicago Fire
Orlando City,3,5,DC United
FC Dallas,1,1,Inter Miami CF
Colorado Rapids,2,3,Austin FC
Los Angeles Galaxy,4,0,Montreal Impact
