equipo local,goles local,goles visita,equipo visita
New England Revolution,1,0,FC Dallas
Toronto FC,1,4,New York Red Bulls
Sporting Kansas City,1,0,Houston Dynamo
Montreal Impact,1,2,Philadelphia Union
San José Earthquakes,3,3,Columbus Crew
Colorado Rapids,3,0,Atlanta United FC
Chicago Fire,0,0,Orlando City
Vancouver Whitecaps,0,0,New York City
FC Cincinnati,0,1,DC United
Minnesota United FC,1,1,Nashville SC
Real Salt Lake,1,0,Seattle Sounders
Charlotte FC,0,1,Los Angeles Galaxy
Austin FC,5,1,Inter Miami CF
Los Angeles FC,1,1,Portland Timbers
