equipo local,goles local,goles visita,equipo visita
Austin FC,3.0,1.0,Houston Dynamo
Atlanta United FC,2.0,1.0,Real Salt Lake
Inter Miami CF,1.0,2.0,Philadelphia Union
Minnesota United FC,1.0,1.0,Sporting Kansas City
DC United,2.0,2.0,Columbus Crew
Chicago Fire,2.0,0.0,Toronto FC
FC Cincinnati,2.0,2.0,Vancouver Whitecaps
Nashville SC,1.0,0.0,Seattle Sounders
Colorado Rapids,1.0,1.0,Orlando City
FC Dallas,0.0,1.0,New York City
Los Angeles Galaxy,2.0,3.0,San José Earthquakes
0,0.0,0.0,0
0,0.0,0.0,0
0,0.0,0.0,0
