equipo local,goles local,goles visita,equipo visita
Philadelphia Union,1,1,Minnesota United FC
Columbus Crew,4,0,Vancouver Whitecaps
Los Angeles FC,3,0,Colorado Rapids
FC Dallas,1,1,Toronto FC
Inter Miami CF,0,0,Chicago Fire
Austin FC,5,0,FC Cincinnati
DC United,3,0,Charlotte FC
San José Earthquakes,1,3,New York Red Bulls
Portland Timbers,2,2,New England Revolution
Orlando City,2,0,Montreal Impact
Atlanta United FC,3,1,Sporting Kansas City
Los Angeles Galaxy,1,0,New York City
Houston Dynamo,0,0,Real Salt Lake
Seattle Sounders,0,1,Nashville SC
