local,E GF local,E GF visita,visita
Bravos,0.5660377358490566,0.9433962264150945,Toluca
Cruz Azul,1.358490566037736,1.8339622641509432,Necaxa
Tigres,2.3773584905660377,0.40754716981132083,Gallos Blancos
Chivas,0.40754716981132083,0.679245283018868,Pachuca
Puebla,1.0867924528301889,0.6113207547169812,Atlético San Luis
Xolos,1.358490566037736,0.8490566037735847,Mazatlán Fútbol Club
Pumas,1.2226415094339624,1.8679245283018866,Rayados
Santos Laguna,2.292452830188679,1.7830188679245285,Atlas
León FC,1.2735849056603774,0.7641509433962265,América
