equipo local,goles local,goles visita,equipo visita
Houston Dynamo,1.0,2.0,Austin FC
Toronto FC,1.0,2.0,FC Cincinnati
Real Salt Lake,1.0,0.0,Los Angeles Galaxy
Montreal Impact,2.0,1.0,Atlanta United FC
Columbus Crew,3.0,0.0,DC United
New England Revolution,2.0,0.0,Inter Miami CF
Orlando City,2.0,1.0,Charlotte FC
Chicago Fire,1.0,2.0,New York Red Bulls
Sporting Kansas City,2.0,2.0,FC Dallas
Colorado Rapids,2.0,0.0,Portland Timbers
New York City,3.0,0.0,San José Earthquakes
Los Angeles FC,2.0,0.0,Minnesota United FC
Seattle Sounders,4.0,0.0,Vancouver Whitecaps
0,0.0,0.0,0
